(None, 'caught', 'Halibut', 321.7)
(None, 'caught', 'Barracuda', 15.0)
(None, 'caught', 'Moray Eel', 805.4)
(None, 'caught', 'Sailfish', 5.0)
(None, 'caught', 'Cuttlefish', 42.8)
(None, 'caught', 'Shrimp', 0.5)
(None, 'caught', 'Halibut', 100.5)
(None, 'caught', 'Grouper', 6.4)
(None, 'caught', 'Lionfish', 1.8)
(None, 'caught', 'Moray Eel', 297.1)
(None, 'caught', 'Shark', 1102.1)
(None, 'caught', 'Waspfish', 3.8)
(None, 'caught', 'Barracuda', 10.0)
(None, 'caught', 'Moray Eel', 366.8)
(None, 'caught', 'Red Snapper', 19.5)
(None, 'caught', 'Cuttlefish', 14.4)
(None, 'caught', 'Squid', 10.0)
(None, 'caught', 'Ray', 283.7)
(None, 'caught', 'Red Snapper', 40.2)
(None, 'caught', 'Scorpionfish', 4.0)
(None, 'caught', 'Ray', 46.8)
(None, 'caught', 'Scorpionfish', 5.9)
(None, 'caught', 'Cuttlefish', 8.5)
(None, 'caught', 'Sole', 4.7)
(None, 'caught', 'Flounder', 10.9)
(None, 'caught', 'Cod', 224.8)
(None, 'caught', 'Moray Eel', 306.2)
(None, 'caught', 'Shark', 2001.4)
(None, 'caught', 'Amberjack', 125.1)
(None, 'caught', 'Moray Eel', 360.0)
(None, 'caught', 'Swordfish', 898.4)
(None, 'caught', 'Amberjack', 42.4)
(None, 'caught', 'Grouper', 57.5)
(None, 'caught', 'Red Snapper', 36.0)
(None, 'caught', 'Squid', 329.1)
(None, 'caught', 'Red Snapper', 42.2)
(None, 'caught', 'Tuna', 751.3)
(None, 'caught', 'Baby Seal', 218.0)
(None, 'caught', 'Tuna', 1520.9)
(None, 'caught', 'Sea Bass', 7.8)
(None, 'caught', 'Cuttlefish', 31.8)
(None, 'caught', 'Squid', 686.0)
(None, 'caught', 'Moray Eel', 317.1)
(None, 'caught', 'Moray Eel', 678.6)
(None, 'caught', 'Swordfish', 1297.2)
(None, 'caught', 'Squid', 212.0)
(None, 'caught', 'Red Snapper', 31.7)
(None, 'caught', 'Stingray', 220.6)
(None, 'caught', 'Ray', 864.0)
(None, 'caught', 'Moray Eel', 1017.2)
(None, 'caught', 'Moray Eel', 114.4)
(None, 'caught', 'Lionfish', 1.7)
(None, 'caught', 'Ray', 641.4)
(None, 'caught', 'Squid', 1336.1)
(None, 'caught', 'Ray', 440.1)
(None, 'caught', 'Shrimp', 1.4)
(None, 'caught', 'Sole', 5.5)
(None, 'caught', 'Ray', 221.7)
(None, 'caught', 'Barracuda', 24.7)
(None, 'caught', 'Red Snapper', 57.3)
(None, 'caught', 'Sea Bass', 7.5)
(None, 'caught', 'Swordfish', 786.4)
(None, 'caught', 'Sailfish', 86.3)
(None, 'caught', 'Sturgeon', 3634.1)
(None, 'caught', 'Red Snapper', 43.8)
(None, 'caught', 'Sea Turtle', 244.2)
(None, 'caught', 'Lionfish', 2.3)
(None, 'caught', 'Squid', 298.7)
(None, 'caught', 'Shrimp', 0.9)
(None, 'caught', 'Cuttlefish', 25.6)
(None, 'caught', 'Lionfish', 0.7)
(None, 'caught', 'Barracuda', 15.3)
(None, 'caught', 'Barracuda', 18.1)
(None, 'caught', 'Salmon', 7.9)
(None, 'caught', 'Blue Marlin', 1357.0)
(None, 'caught', 'Mackerel', 109.8)
(None, 'caught', 'Lionfish', 3.1)
(None, 'caught', 'Herring', 1.3)
(None, 'caught', 'Moray Eel', 814.9)
(None, 'caught', 'Shark', 2112.6)
(None, 'caught', 'Herring', 0.8)
(None, 'caught', 'Red Snapper', 5.5)
